student_name,address,zip,country,email
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
mba_2022_feb_name 8,mba_2022_feb_add 8,mba_2022_feb_zip 8,mba_2022_feb_country 8,mba_2022_feb_email 8
mba_2022_feb_name 9,mba_2022_feb_add 9,mba_2022_feb_zip 9,mba_2022_feb_country 9,mba_2022_feb_email 9
mba_2022_feb_name 10,mba_2022_feb_add 10,mba_2022_feb_zip 10,mba_2022_feb_country 10,mba_2022_feb_email 10
mba_2022_feb_name 11,mba_2022_feb_add 11,mba_2022_feb_zip 11,mba_2022_feb_country 11,mba_2022_feb_email 11
mba_2022_feb_name 12,mba_2022_feb_add 12,mba_2022_feb_zip 12,mba_2022_feb_country 12,mba_2022_feb_email 12
mba_2022_feb_name 13,mba_2022_feb_add 13,mba_2022_feb_zip 13,mba_2022_feb_country 13,mba_2022_feb_email 13
